"","Species","a","b"
"1783","Coryphophylax brevicaudus",-4.686,3.105
"1784","Coryphophylax subcristatus",-4.686,3.105
"1785","Corytophanes cristatus",-5.033,3.243
"1786","Corytophanes hernandesii",-5.033,3.243
"1787","Corytophanes percarinatus",-5.033,3.243
"1788","Crenadactylus horni",-4.804,3.057
"1789","Crenadactylus naso",-4.804,3.057
"1790","Crenadactylus occidentalis",-4.804,3.057
"1791","Crenadactylus ocellatus",-4.804,3.057
"1792","Crenadactylus pilbarensis",-4.804,3.057
"1793","Crenadactylus rostralis",-4.804,3.057
"1794","Crenadactylus tuberculatus",-4.804,3.057
"1795","Cricosaura typica",-4.796,3.048
"1796","Crocodilurus amazonicus",-4.747,3.11
"1797","Crossobamon eversmanni",-4.242,2.761
"1798","Crossobamon orientalis",-4.242,2.761
"1799","Crotaphytus antiquus",-1.528,1.569
"1800","Crotaphytus bicinctores",-1.528,1.569
"1801","Crotaphytus collaris",-1.528,1.569
"1802","Crotaphytus dickersonae",-1.528,1.569
"1803","Crotaphytus grismeri",-1.528,1.569
"1804","Crotaphytus insularis",-1.528,1.569
"1805","Crotaphytus nebrius",-1.528,1.569
"1806","Crotaphytus reticulatus",-1.528,1.569
"1807","Crotaphytus vestigium",-1.528,1.569
"1808","Cryptactites peringueyi",-4.242,2.761
"1809","Cryptagama aurita",-4.686,3.105
"1810","Cryptoblepharus adamsi",-5.125,3.229
"1811","Cryptoblepharus africanus",-5.125,3.229
"1812","Cryptoblepharus ahli",-5.125,3.229
"1813","Cryptoblepharus aldabrae",-5.125,3.229
"1814","Cryptoblepharus ater",-5.125,3.229
"1815","Cryptoblepharus australis",-5.125,3.229
"1816","Cryptoblepharus balinensis",-5.125,3.229
"1817","Cryptoblepharus bitaeniatus",-5.125,3.229
"1818","Cryptoblepharus boutonii",-5.125,3.229
"1819","Cryptoblepharus buchananii",-5.125,3.229
"1820","Cryptoblepharus burdeni",-5.125,3.229
"1821","Cryptoblepharus caudatus",-5.125,3.229
"1822","Cryptoblepharus cognatus",-5.125,3.229
"1823","Cryptoblepharus cursor",-5.125,3.229
"1824","Cryptoblepharus cygnatus",-5.125,3.229
"1825","Cryptoblepharus daedalos",-5.125,3.229
"1826","Cryptoblepharus egeriae",-5.125,3.229
"1827","Cryptoblepharus eximius",-5.125,3.229
"1828","Cryptoblepharus exochus",-5.125,3.229
"1829","Cryptoblepharus fuhni",-5.125,3.229
"1830","Cryptoblepharus furvus",-5.125,3.229
"1831","Cryptoblepharus gloriosus",-5.125,3.229
"1832","Cryptoblepharus gurrmul",-5.125,3.229
"1833","Cryptoblepharus juno",-5.125,3.229
"1834","Cryptoblepharus keiensis",-5.125,3.229
"1835","Cryptoblepharus leschenault",-5.125,3.229
"1836","Cryptoblepharus litoralis",-5.125,3.229
"1837","Cryptoblepharus megastictus",-5.125,3.229
"1838","Cryptoblepharus mertensi",-5.125,3.229
"1839","Cryptoblepharus metallicus",-5.125,3.229
"1840","Cryptoblepharus nigropunctatus",-5.125,3.229
"1841","Cryptoblepharus novaeguineae",-5.125,3.229
"1842","Cryptoblepharus novocaledonicus",-5.125,3.229
"1843","Cryptoblepharus novohebridicus",-5.125,3.229
"1844","Cryptoblepharus ochrus",-5.125,3.229
"1845","Cryptoblepharus pannosus",-5.125,3.229
"1846","Cryptoblepharus plagiocephalus",-5.125,3.229
"1847","Cryptoblepharus poecilopleurus",-5.125,3.229
"1848","Cryptoblepharus pulcher",-5.125,3.229
"1849","Cryptoblepharus quinquetaeniatus",-5.125,3.229
"1850","Cryptoblepharus renschi",-5.125,3.229
"1851","Cryptoblepharus richardsi",-5.125,3.229
"1852","Cryptoblepharus ruber",-5.125,3.229
"1853","Cryptoblepharus rutilus",-5.125,3.229
"1854","Cryptoblepharus schlegelianus",-5.125,3.229
"1855","Cryptoblepharus tytthos",-5.125,3.229
"1856","Cryptoblepharus ustulatus",-5.125,3.229
"1857","Cryptoblepharus virgatus",-5.125,3.229
"1858","Cryptoblepharus voeltzkowi",-5.125,3.229
"1859","Cryptoblepharus wulbu",-5.125,3.229
"1860","Cryptoblepharus xenikos",-5.125,3.229
"1861","Cryptoblepharus yulensis",-5.125,3.229
"1862","Cryptoblepharus zoticus",-5.125,3.229
"1863","Ctenoblepharys adspersa",-5.033,3.243
"1864","Ctenophorus adelaidensis",-4.686,3.105
"1865","Ctenophorus butleri",-4.686,3.105
"1866","Ctenophorus caudicinctus",-4.686,3.105
"1867","Ctenophorus chapmani",-4.686,3.105
"1868","Ctenophorus clayi",-4.686,3.105
"1869","Ctenophorus cristatus",-4.686,3.105
"1870","Ctenophorus decresii",-4.686,3.105
"1871","Ctenophorus femoralis",-4.686,3.105
"1872","Ctenophorus fionni",-4.686,3.105
"1873","Ctenophorus fordi",-4.686,3.105
"1874","Ctenophorus gibba",-4.686,3.105
"1875","Ctenophorus isolepis",-4.686,3.105
"1876","Ctenophorus maculatus",-4.686,3.105
"1877","Ctenophorus maculosus",-4.686,3.105
"1878","Ctenophorus mckenziei",-4.686,3.105
"1879","Ctenophorus mirrityana",-4.686,3.105
"1880","Ctenophorus nguyarna",-4.686,3.105
"1881","Ctenophorus nuchalis",-4.686,3.105
"1882","Ctenophorus ornatus",-4.686,3.105
"1883","Ctenophorus parviceps",-4.686,3.105
"1884","Ctenophorus pictus",-4.686,3.105
"1885","Ctenophorus reticulatus",-4.686,3.105
"1886","Ctenophorus rubens",-4.686,3.105
"1887","Ctenophorus rufescens",-4.686,3.105
"1888","Ctenophorus salinarum",-4.686,3.105
"1889","Ctenophorus scutulatus",-4.686,3.105
"1890","Ctenophorus tjantjalka",-4.686,3.105
"1891","Ctenophorus vadnappa",-4.686,3.105
"1892","Ctenophorus yinnietharra",-4.686,3.105
"1893","Ctenosaura acanthura",-4.298,2.972
"1894","Ctenosaura bakeri",-4.298,2.972
"1895","Ctenosaura clarki",-4.298,2.972
"1896","Ctenosaura conspicuosa",-4.298,2.972
"1897","Ctenosaura flavidorsalis",-4.298,2.972
"1898","Ctenosaura hemilopha",-4.298,2.972
"1899","Ctenosaura macrolopha",-4.298,2.972
"1900","Ctenosaura melanosterna",-4.298,2.972
"1901","Ctenosaura nolascensis",-4.298,2.972
"1902","Ctenosaura oaxacana",-4.298,2.972
"1903","Ctenosaura oedirhina",-4.298,2.972
"1904","Ctenosaura palearis",-4.298,2.972
"1905","Ctenosaura pectinata",-4.298,2.972
"1906","Ctenosaura quinquecarinata",-4.298,2.972
"1907","Ctenosaura similis",-4.298,2.972
"1908","Ctenotus agrestis",-5.125,3.229
"1909","Ctenotus alacer",-5.125,3.229
"1910","Ctenotus alleni",-5.125,3.229
"1911","Ctenotus allotropis",-5.125,3.229
"1912","Ctenotus angusticeps",-5.125,3.229
"1913","Ctenotus aphrodite",-5.125,3.229
"1914","Ctenotus arcanus",-5.125,3.229
"1915","Ctenotus ariadnae",-5.125,3.229
"1916","Ctenotus arnhemensis",-5.125,3.229
"1917","Ctenotus astarte",-5.125,3.229
"1918","Ctenotus astictus",-5.125,3.229
"1919","Ctenotus atlas",-5.125,3.229
"1920","Ctenotus australis",-5.125,3.229
"1921","Ctenotus borealis",-5.125,3.229
"1922","Ctenotus brevipes",-5.125,3.229
"1923","Ctenotus brooksi",-5.125,3.229
"1924","Ctenotus burbidgei",-5.125,3.229
"1925","Ctenotus calurus",-5.125,3.229
"1926","Ctenotus capricorni",-5.125,3.229
"1927","Ctenotus catenifer",-5.125,3.229
"1928","Ctenotus coggeri",-5.125,3.229
"1929","Ctenotus colletti",-5.125,3.229
"1930","Ctenotus decaneurus",-5.125,3.229
"1931","Ctenotus delli",-5.125,3.229
"1932","Ctenotus duricola",-5.125,3.229
"1933","Ctenotus dux",-5.125,3.229
"1934","Ctenotus ehmanni",-5.125,3.229
"1935","Ctenotus essingtonii",-5.125,3.229
"1936","Ctenotus euclae",-5.125,3.229
"1937","Ctenotus eurydice",-5.125,3.229
"1938","Ctenotus eutaenius",-5.125,3.229
"1939","Ctenotus gagudju",-5.125,3.229
"1940","Ctenotus gemmula",-5.125,3.229
"1941","Ctenotus grandis",-5.125,3.229
"1942","Ctenotus greeri",-5.125,3.229
"1943","Ctenotus halysis",-5.125,3.229
"1944","Ctenotus hanloni",-5.125,3.229
"1945","Ctenotus hebetior",-5.125,3.229
"1946","Ctenotus hilli",-5.125,3.229
"1947","Ctenotus iapetus",-5.125,3.229
"1948","Ctenotus impar",-5.125,3.229
"1949","Ctenotus ingrami",-5.125,3.229
"1950","Ctenotus inornatus",-5.125,3.229
"1951","Ctenotus joanae",-5.125,3.229
"1952","Ctenotus kurnbudj",-5.125,3.229
"1953","Ctenotus labillardieri",-5.125,3.229
"1954","Ctenotus lancelini",-5.125,3.229
"1955","Ctenotus lateralis",-5.125,3.229
"1956","Ctenotus leae",-5.125,3.229
"1957","Ctenotus leonhardii",-5.125,3.229
"1958","Ctenotus maryani",-5.125,3.229
"1959","Ctenotus mastigura",-5.125,3.229
"1960","Ctenotus mesotes",-5.125,3.229
"1961","Ctenotus militaris",-5.125,3.229
"1962","Ctenotus mimetes",-5.125,3.229
"1963","Ctenotus monticola",-5.125,3.229
"1964","Ctenotus nasutus",-5.125,3.229
"1965","Ctenotus nigrilineatus",-5.125,3.229
"1966","Ctenotus nullum",-5.125,3.229
"1967","Ctenotus olympicus",-5.125,3.229
"1968","Ctenotus ora",-5.125,3.229
"1969","Ctenotus orientalis",-5.125,3.229
"1970","Ctenotus pallasotus",-5.125,3.229
"1971","Ctenotus pallescens",-5.125,3.229
"1972","Ctenotus pantherinus",-5.125,3.229
"1973","Ctenotus piankai",-5.125,3.229
"1974","Ctenotus pulchellus",-5.125,3.229
"1975","Ctenotus quattuordecimlineatus",-5.125,3.229
"1976","Ctenotus quinkan",-5.125,3.229
"1977","Ctenotus quirinus",-5.125,3.229
"1978","Ctenotus rawlinsoni",-5.125,3.229
"1979","Ctenotus regius",-5.125,3.229
"1980","Ctenotus rhabdotus",-5.125,3.229
"1981","Ctenotus rimacolus",-5.125,3.229
"1982","Ctenotus robustus",-5.125,3.229
"1983","Ctenotus rosarium",-5.125,3.229
"1984","Ctenotus rubicundus",-5.125,3.229
"1985","Ctenotus rufescens",-5.125,3.229
"1986","Ctenotus rutilans",-5.125,3.229
"1987","Ctenotus schevilli",-5.125,3.229
"1988","Ctenotus schomburgkii",-5.125,3.229
"1989","Ctenotus septenarius",-5.125,3.229
"1990","Ctenotus serotinus",-5.125,3.229
"1991","Ctenotus serventyi",-5.125,3.229
"1992","Ctenotus spaldingi",-5.125,3.229
"1993","Ctenotus storri",-5.125,3.229
"1994","Ctenotus strauchii",-5.125,3.229
"1995","Ctenotus striaticeps",-5.125,3.229
"1996","Ctenotus stuarti",-5.125,3.229
"1997","Ctenotus superciliaris",-5.125,3.229
"1998","Ctenotus taeniatus",-5.125,3.229
"1999","Ctenotus taeniolatus",-5.125,3.229
"2000","Ctenotus tanamiensis",-5.125,3.229
"2001","Ctenotus tantillus",-5.125,3.229
"2002","Ctenotus terrareginae",-5.125,3.229
"2003","Ctenotus uber",-5.125,3.229
"2004","Ctenotus vagus",-5.125,3.229
"2005","Ctenotus vertebralis",-5.125,3.229
"2006","Ctenotus xenopleura",-5.125,3.229
"2007","Ctenotus youngsoni",-5.125,3.229
"2008","Ctenotus zastictus",-5.125,3.229
"2009","Ctenotus zebrilla",-5.125,3.229
"2010","Cyclodomorphus branchialis",-5.125,3.229
"2011","Cyclodomorphus casuarinae",-5.125,3.229
"2012","Cyclodomorphus celatus",-5.125,3.229
"2013","Cyclodomorphus gerrardii",-5.125,3.229
"2014","Cyclodomorphus maximus",-5.125,3.229
"2015","Cyclodomorphus melanops",-5.125,3.229
"2016","Cyclodomorphus michaeli",-5.125,3.229
"2017","Cyclodomorphus praealtus",-5.125,3.229
"2018","Cyclodomorphus venustus",-5.125,3.229
"2019","Cyclura carinata",-4.298,2.972
"2020","Cyclura collei",-4.298,2.972
"2021","Cyclura cornuta",-4.298,2.972
"2022","Cyclura cychlura",-4.298,2.972
"2023","Cyclura lewisi",-4.298,2.972
"2024","Cyclura nubila",-4.298,2.972
"2025","Cyclura pinguis",-4.298,2.972
"2026","Cyclura ricordi",-4.298,2.972
"2027","Cyclura rileyi",-4.298,2.972
"2028","Cyclura stejnegeri",-4.298,2.972
"2029","Cynisca bifrontalis",-8.647,4.007
"2030","Cynisca chirioi",-8.647,4.007
"2031","Cynisca degrysi",-8.647,4.007
"2032","Cynisca feae",-8.647,4.007
"2033","Cynisca gansi",-8.647,4.007
"2034","Cynisca haugi",-8.647,4.007
"2035","Cynisca ivoirensis",-8.647,4.007
"2036","Cynisca kigomensis",-8.647,4.007
"2037","Cynisca kraussi",-8.647,4.007
"2038","Cynisca leonina",-8.647,4.007
"2039","Cynisca leucura",-8.647,4.007
"2040","Cynisca liberiensis",-8.647,4.007
"2041","Cynisca manei",-8.647,4.007
"2042","Cynisca muelleri",-8.647,4.007
"2043","Cynisca nigeriensis",-8.647,4.007
"2044","Cynisca oligopholis",-8.647,4.007
"2045","Cynisca rouxae",-8.647,4.007
"2046","Cynisca schaeferi",-8.647,4.007
"2047","Cynisca senegalensis",-8.647,4.007
"2048","Cynisca williamsi",-8.647,4.007
"2049","Cyrtodactylus aaroni",-4.242,2.761
"2050","Cyrtodactylus adleri",-4.242,2.761
"2051","Cyrtodactylus adorus",-4.242,2.761
"2052","Cyrtodactylus aequalis",-4.242,2.761
"2053","Cyrtodactylus agamensis",-4.242,2.761
"2054","Cyrtodactylus agusanensis",-4.242,2.761
"2055","Cyrtodactylus albofasciatus",-4.242,2.761
"2056","Cyrtodactylus angularis",-4.242,2.761
"2057","Cyrtodactylus annandalei",-4.242,2.761
"2058","Cyrtodactylus annulatus",-4.242,2.761
"2059","Cyrtodactylus arcanus",-4.242,2.761
"2060","Cyrtodactylus astrum",-4.242,2.761
"2061","Cyrtodactylus aurensis",-4.242,2.761
"2062","Cyrtodactylus auribalteatus",-4.242,2.761
"2063","Cyrtodactylus australotitiwangsaensis",-4.242,2.761
"2064","Cyrtodactylus ayeyarwadyensis",-4.242,2.761
"2065","Cyrtodactylus badenensis",-4.242,2.761
"2066","Cyrtodactylus baluensis",-4.242,2.761
"2067","Cyrtodactylus bansocensis",-4.242,2.761
"2068","Cyrtodactylus batik",-4.242,2.761
"2069","Cyrtodactylus battalensis",-4.242,2.761
"2070","Cyrtodactylus batucolus",-4.242,2.761
"2071","Cyrtodactylus bichnganae",-4.242,2.761
"2072","Cyrtodactylus bidoupimontis",-4.242,2.761
"2073","Cyrtodactylus bintangrendah",-4.242,2.761
"2074","Cyrtodactylus bintangtinggi",-4.242,2.761
"2075","Cyrtodactylus biordinis",-4.242,2.761
"2076","Cyrtodactylus bobrovi",-4.242,2.761
"2077","Cyrtodactylus boreoclivus",-4.242,2.761
"2078","Cyrtodactylus brevidactylus",-4.242,2.761
"2079","Cyrtodactylus brevipalmatus",-4.242,2.761
"2080","Cyrtodactylus buchardi",-4.242,2.761
"2081","Cyrtodactylus bugiamapensis",-4.242,2.761
"2082","Cyrtodactylus calamei",-4.242,2.761
"2083","Cyrtodactylus caovansungi",-4.242,2.761
"2084","Cyrtodactylus capreoloides",-4.242,2.761
"2085","Cyrtodactylus cattienensis",-4.242,2.761
"2086","Cyrtodactylus cavernicolus",-4.242,2.761
"2087","Cyrtodactylus celatus",-4.242,2.761
"2088","Cyrtodactylus chanhomeae",-4.242,2.761
"2089","Cyrtodactylus chauquangensis",-4.242,2.761
"2090","Cyrtodactylus chrysopylos",-4.242,2.761
"2091","Cyrtodactylus collegalensis",-4.242,2.761
"2092","Cyrtodactylus condorensis",-4.242,2.761
"2093","Cyrtodactylus consobrinoides",-4.242,2.761
"2094","Cyrtodactylus consobrinus",-4.242,2.761
"2095","Cyrtodactylus cracens",-4.242,2.761
"2096","Cyrtodactylus cryptus",-4.242,2.761
"2097","Cyrtodactylus cucdongensis",-4.242,2.761
"2098","Cyrtodactylus cucphuongensis",-4.242,2.761
"2099","Cyrtodactylus dammathetensis",-4.242,2.761
"2100","Cyrtodactylus darevskii",-4.242,2.761
"2101","Cyrtodactylus darmandvillei",-4.242,2.761
"2102","Cyrtodactylus dati",-4.242,2.761
"2103","Cyrtodactylus dattanensis",-4.242,2.761
"2104","Cyrtodactylus deccanensis",-4.242,2.761
"2105","Cyrtodactylus derongo",-4.242,2.761
"2106","Cyrtodactylus deveti",-4.242,2.761
"2107","Cyrtodactylus doisuthep",-4.242,2.761
"2108","Cyrtodactylus dumnuii",-4.242,2.761
"2109","Cyrtodactylus durio",-4.242,2.761
"2110","Cyrtodactylus edwardtaylori",-4.242,2.761
"2111","Cyrtodactylus eisenmanae",-4.242,2.761
"2112","Cyrtodactylus elok",-4.242,2.761
"2113","Cyrtodactylus epiroticus",-4.242,2.761
"2114","Cyrtodactylus equestris",-4.242,2.761
"2115","Cyrtodactylus erythrops",-4.242,2.761
"2116","Cyrtodactylus fasciolatus",-4.242,2.761
"2117","Cyrtodactylus feae",-4.242,2.761
"2118","Cyrtodactylus fraenatus",-4.242,2.761
"2119","Cyrtodactylus fumosus",-4.242,2.761
"2120","Cyrtodactylus gansi",-4.242,2.761
"2121","Cyrtodactylus gialaiensis",-4.242,2.761
"2122","Cyrtodactylus gordongekkoi",-4.242,2.761
"2123","Cyrtodactylus grismeri",-4.242,2.761
"2124","Cyrtodactylus guakanthanensis",-4.242,2.761
"2125","Cyrtodactylus gubaot",-4.242,2.761
"2126","Cyrtodactylus gubernatoris",-4.242,2.761
"2127","Cyrtodactylus gunungsenyumensis",-4.242,2.761
"2128","Cyrtodactylus halmahericus",-4.242,2.761
"2129","Cyrtodactylus hidupselamanya",-4.242,2.761
"2130","Cyrtodactylus hikidai",-4.242,2.761
"2131","Cyrtodactylus himalayanus",-4.242,2.761
"2132","Cyrtodactylus hinnamnoensis",-4.242,2.761
"2133","Cyrtodactylus hitchi",-4.242,2.761
"2134","Cyrtodactylus hontreensis",-4.242,2.761
"2135","Cyrtodactylus hoskini",-4.242,2.761
"2136","Cyrtodactylus huongsonensis",-4.242,2.761
"2137","Cyrtodactylus huynhi",-4.242,2.761
"2138","Cyrtodactylus ingeri",-4.242,2.761
"2139","Cyrtodactylus interdigitalis",-4.242,2.761
"2140","Cyrtodactylus intermedius",-4.242,2.761
"2141","Cyrtodactylus inthanon",-4.242,2.761
"2142","Cyrtodactylus irianjayaensis",-4.242,2.761
"2143","Cyrtodactylus irregularis",-4.242,2.761
"2144","Cyrtodactylus jaegeri",-4.242,2.761
"2145","Cyrtodactylus jambangan",-4.242,2.761
"2146","Cyrtodactylus jarakensis",-4.242,2.761
"2147","Cyrtodactylus jarujini",-4.242,2.761
"2148","Cyrtodactylus jelawangensis",-4.242,2.761
"2149","Cyrtodactylus jellesmae",-4.242,2.761
"2150","Cyrtodactylus jeyporensis",-4.242,2.761
"2151","Cyrtodactylus khammouanensis",-4.242,2.761
"2152","Cyrtodactylus khasiensis",-4.242,2.761
"2153","Cyrtodactylus khelangensis",-4.242,2.761
"2154","Cyrtodactylus kimberleyensis",-4.242,2.761
"2155","Cyrtodactylus kingsadai",-4.242,2.761
"2156","Cyrtodactylus klakahensis",-4.242,2.761
"2157","Cyrtodactylus klugei",-4.242,2.761
"2158","Cyrtodactylus kunyai",-4.242,2.761
"2159","Cyrtodactylus laevigatus",-4.242,2.761
"2160","Cyrtodactylus langkawiensis",-4.242,2.761
"2161","Cyrtodactylus lateralis",-4.242,2.761
"2162","Cyrtodactylus lawderanus",-4.242,2.761
"2163","Cyrtodactylus leegrismeri",-4.242,2.761
"2164","Cyrtodactylus lekaguli",-4.242,2.761
"2165","Cyrtodactylus lenggongensis",-4.242,2.761
"2166","Cyrtodactylus lenya",-4.242,2.761
"2167","Cyrtodactylus linnoensis",-4.242,2.761
"2168","Cyrtodactylus linnwayensis",-4.242,2.761
"2169","Cyrtodactylus lomyenensis",-4.242,2.761
"2170","Cyrtodactylus loriae",-4.242,2.761
"2171","Cyrtodactylus louisiadensis",-4.242,2.761
"2172","Cyrtodactylus macrotuberculatus",-4.242,2.761
"2173","Cyrtodactylus majulah",-4.242,2.761
"2174","Cyrtodactylus malayanus",-4.242,2.761
"2175","Cyrtodactylus mamanwa",-4.242,2.761
"2176","Cyrtodactylus mandalayensis",-4.242,2.761
"2177","Cyrtodactylus markuscombaii",-4.242,2.761
"2178","Cyrtodactylus marmoratus",-4.242,2.761
"2179","Cyrtodactylus martini",-4.242,2.761
"2180","Cyrtodactylus martinstolli",-4.242,2.761
"2181","Cyrtodactylus matsuii",-4.242,2.761
"2182","Cyrtodactylus mcdonaldi",-4.242,2.761
"2183","Cyrtodactylus medioclivus",-4.242,2.761
"2184","Cyrtodactylus metropolis",-4.242,2.761
"2185","Cyrtodactylus mimikanus",-4.242,2.761
"2186","Cyrtodactylus minor",-4.242,2.761
"2187","Cyrtodactylus multiporus",-4.242,2.761
"2188","Cyrtodactylus murua",-4.242,2.761
"2189","Cyrtodactylus nebulosus",-4.242,2.761
"2190","Cyrtodactylus nepalensis",-4.242,2.761
"2191","Cyrtodactylus nigriocularis",-4.242,2.761
"2192","Cyrtodactylus novaeguineae",-4.242,2.761
"2193","Cyrtodactylus nuaulu",-4.242,2.761
"2194","Cyrtodactylus oldhami",-4.242,2.761
"2195","Cyrtodactylus otai",-4.242,2.761
"2196","Cyrtodactylus pageli",-4.242,2.761
"2197","Cyrtodactylus pantiensis",-4.242,2.761
"2198","Cyrtodactylus papilionoides",-4.242,2.761
"2199","Cyrtodactylus papuensis",-4.242,2.761
"2200","Cyrtodactylus paradoxus",-4.242,2.761
"2201","Cyrtodactylus payacola",-4.242,2.761
"2202","Cyrtodactylus payarhtanensis",-4.242,2.761
"2203","Cyrtodactylus peguensis",-4.242,2.761
"2204","Cyrtodactylus petani",-4.242,2.761
"2205","Cyrtodactylus pharbaungensis",-4.242,2.761
"2206","Cyrtodactylus phetchaburiensis",-4.242,2.761
"2207","Cyrtodactylus philippinicus",-4.242,2.761
"2208","Cyrtodactylus phongnhakebangensis",-4.242,2.761
"2209","Cyrtodactylus phuketensis",-4.242,2.761
"2210","Cyrtodactylus phuocbinhensis",-4.242,2.761
"2211","Cyrtodactylus phuquocensis",-4.242,2.761
"2212","Cyrtodactylus pronarus",-4.242,2.761
"2213","Cyrtodactylus psarops",-4.242,2.761
"2214","Cyrtodactylus pseudoquadrivirgatus",-4.242,2.761
"2215","Cyrtodactylus pubisulcus",-4.242,2.761
"2216","Cyrtodactylus puhuensis",-4.242,2.761
"2217","Cyrtodactylus pulchellus",-4.242,2.761
"2218","Cyrtodactylus pyinyaungensis",-4.242,2.761
"2219","Cyrtodactylus quadrivirgatus",-4.242,2.761
"2220","Cyrtodactylus ramboda",-4.242,2.761
"2221","Cyrtodactylus ranongensis",-4.242,2.761
"2222","Cyrtodactylus redimiculus",-4.242,2.761
"2223","Cyrtodactylus rex",-4.242,2.761
"2224","Cyrtodactylus rishivalleyensis",-4.242,2.761
